"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","2415 Avenue F","Charleston County School District","Prestige Preparatory Academy","http://www.prestigepreparatoryacademy.org/","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","K-6 SPED","jcoleman@prestigepreparatoryacademy.org","Joyce ","","Coleman","843-900-7722","Ms.","",631,"","","Prestige Preparatory Academy",8439007722,2020,1001631,"SC",29405,
"","9447 Evan Way","Beaufort County School District","Pritchardville Elementary","http://pves.beaufortschools.net/","Bluffton","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-5 SPED           ","brenda.blue@beaufort.k12.sc.us","Brenda","field no longer used","Blue","843-707-0500","Ms.","Lowcountry",037,"",8437078119,"Pritchardville Elem                               ",8437070500,2020,0701037,"SC",29910,
"","381 South Wheeler Street","School District of Newberry County","Prosperity-Rikard Elementary","http://prosperity-https://www.newberry.k12.sc.us/o/pre/","Prosperity","Newberry                                          ",3601,"Newberry 01                                       ","PK-5 SPED       ","apeel@newberry.k12.sc.us","April","field no longer used","Peel","803-364-2321","Ms.","Upper Savannah",022,"",8033644484,"Prosperity-Rikard Elem                            ",8033642331,2020,3601022,"SC",29127,
"","3625 Ashley Phosphate Road","Charleston County School District","R. B. Stall High School","http://stall.ccsdschools.com/","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","9-12 SPED      ","jeremy_carrick@charleston.k12.sc.us","Jeremy","field no longer used","Carrick","843-764-2200","Mr.","Trident",022,"",8437642240,"R B Stall High                                    ",8437642200,2020,1001022,"SC",29418,
"","1157 Madden Bridge Road","School District of Pickens County","R. C. Edwards Middle","http://rce.pickens.k12.sc.us/","Central","Pickens                                           ",3901,"Pickens 01                                        ","6-8 SPED       ","jeffduncan@pickens.k12.sc.us","Jeff","field no longer used","Duncan","864-397-4200","Mr.","Pendleton",002,"",8646244426,"R C Edwards Middle                                ",8643974200,2020,3901002,"SC",29630,
"P.O. Box 248","1151 Center Point Drive","R D Anderson Applied Technology Center","R. D. Anderson Applied Technology Center","http://www.rdanderson.org","Moore","Spartanburg                                       ",4281,"Spartanburg 81                                    ","9-12 SPED","syarborough@rdanderson.org","Sherri","field no longer used","Yarborough","864-576-5020","Mrs.","",996,"",8645768642,"R D Anderson Applied Tech Ctr                     ",8645765020,2020,4281996,"SC",29369,
"","345 Eastern School Road","Sumter","R. E. Davis College Preparatory Academy","http://redes.sumterschools.net/","Sumter","Sumter                                            ",4301,"Sumter 01                                         ","PK-8 SPED","anita.hunter@sumterschools.net","Anita","field no longer used","Hunter","803-495-3247","Ms.","Santee Lynches",010,"",8034953211,"RE Davis College Prep. Academy                            ",8034953247,2020,4301010,"SC",29153,
"","1614 Walterboro St.","Lexington District Two","R. H. Fulmer Middle","http://fms.lex2.org/","West Columbia","Lexington                                         ",3202,"Lexington 02                                      ","6-8 SPED       ","mcarrero@lex2.org","Megan","field no longer used","Carrero","803-822-5660","Ms.","Midlands",012,"",8038225664,"R H Fulmer Middle                                 ",8038225660,2020,3202012,"SC",29170,
"","1001 W. Sumter Street","Florence School District One","R. N. Beck Child Development Center     ","https://www.f1s.org/preschoolandparentservices","Florence","Florence                                          ",2101,"Florence 01                                       ","PK SPED             ","fcreech@fsd1.org","Floyd","field no longer used","Creech","","Mr.","Pee Dee",800,"","","R. N. Beck Child Development Center                                 ","",2020,2101800,"SC",29501,
"","1300 East Blackstock Road","Spartanburg County School District Six","R. P. Dawkins Middle","https://dms.spart6.org/","Moore","Spartanburg                                       ",4206,"Spartanburg 06                                    ","6-8 SPED       ","jfunderburk@spart6.org","Justin","field no longer used","Funderburk","864-576-8088","Mr.","Upstate",060,"",8645952418,"R P Dawkins Middle                                ",8645768088,2020,4206060,"SC",29369,
"","4100 Highway 261 North","Sumter","Rafting Creek Elementary","http://rces.sumterschools.net/","Rembert","Sumter                                            ",4301,"Sumter 01                                         ","PK-5 SPED      ","jennifer.howard@sumterschools.net","Jennifer","field no longer used","Howard","803-432-2994","Mrs.","Santee Lynches",017,"",8034257386,"Rafting Creek Elementary                          ",8034322994,2020,4301017,"SC",29128,
"","1951 Riveroak Road","Spartanburg 2","Rainbow Lake Middle","http://rlm.spart2.org/","Chesnee","Spartanburg                                       ",4202,"Spartanburg 02                                    ","6-8 SPED       ","trent.hardee@spart2.org","Trent","field no longer used","Hardee","864-253-5700","Mr.","Upstate",089,"",8642535701,"Rainbow Lake Middle                               ",8642535700,2020,4202089,"SC",29323,
"","4231 Fork Shoals Road","The School District of Greenville County","Ralph Chandler Middle","http://www.greenville.k12.sc.us/chandler/","Simpsonville","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED            ","jjenkins@greenville.k12.sc.us","Jeffrey ","field no longer used","Jenkins","864-452-0300","Mr.","Greenville",118,"",8644520365,"Ralph Chandler Middle                             ",8644520300,2020,2301118,"SC",29680,
"","150 Ravenel School Road","School District of Oconee County","Ravenel Elementary","https://sites.google.com/a/g.oconee.k12.sc.us/ravenel-elementary/","Seneca","Oconee                                            ",3701,"Oconee 01                                         ","PK-5 SPED           ","ahenderson@g.oconee.k12.sc.us","Angie","field no longer used","Henderson","864-886-4450","Ms.","Pendleton",017,"",8648864449,"Ravenel Elem                                      ",8648864450,2020,3701017,"SC",29678,
"","2631 West Main Street","Rock Hill School District Three of York County","Rawlinson Road Middle","https://www.rock-hill.k12.sc.us/Domain/27","Rock Hill","York                                              ",4603,"York 03                                           ","6-8 SPED       ","handrus@rhmail.org","Heather","field no longer used","Andrus","803-981-1500","Ms.","Catawba",019,"",8039811532,"Rawlinson Road Middle                             ",8039811500,2020,4603019,"SC",29732,
"","246 Community Drive","Lexington County School District One","Red Bank Elementary","http://www.lexington1.net/schools/red-bank-elementary-school","Lexington","Lexington                                         ",3201,"Lexington 01                                      ","PK-5 SPED          ","jricard@lexington1.net","Janet B.","field no longer used","Ricard","803-821-4600","Mrs.","Midlands",011,"",8038214603,"Red Bank Elem                                     ",8038214600,2020,3201011,"SC",29073,
"","10 Box Elder Lane","Beaufort County School District","Red Cedar Elementary","http://rces.beaufortschools.net/","Bluffton","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-5 SPED      ","kathleen.corley@beaufort.k12.sc.us","Kathy","field no longer used","Corley","843-707-0600","Dr.","Lowcountry",034,"",8437070611,"Red Cedar Elementary                              ",8437070600,2020,0701034,"SC",29910,
"","22 Double Springs Road","Aiken County Public Schools","Redcliffe Elementary","http://www.acpsd.net/RES","Aiken","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED           ","tlinden@acpsd.net","Terra","field no longer used","Van der Linden","803-827-3350","Ms.","Lower Savannah",055,"",8038273354,"Redcliffe Elem                                    ",8038273350,2020,0201055,"SC",29803,
"P.O. Box 189","520 Main Street","Spartanburg Five","Reidville Elementary","http://www.spart5.net/rves/site/default.asp","Reidville","Spartanburg                                       ",4205,"Spartanburg 05                                    ","PK-4 SPED      ","phillip.dean@spart5.net","Phillip","field no longer used","Dean","864-949-2388","Mr.","Upstate",049,"",8649492390,"Reidville Elem                                    ",8649492388,2020,4205049,"SC",29375,
"","424 Lee Road","SC Public School Charter District","Renaissance Collegiate Academy","https://renaissanceedu.com/","Columbia","NONE                               ",4701,"SC Public Charter School District                 ","K-2 SPED","hjvharmon@rcacollegiate.org","Hugh","","Harmon","803-567-5634","Mr.","",058,"","","Renaissance Collegiate Academy","803-567-5634",2020,4701058,"SC",29229,
"","3605 Spearman Road","School District of Newberry County","Reuben Elementary","https://www.newberry.k12.sc.us/o/reuben","Newberry","Newberry                                          ",3601,"Newberry 01                                       ","PK-5 SPED          ","mstroud@newberry.k12.sc.us","Mike","field no longer used","Stroud","803-321-2664","Mr.","Upper Savannah",015,"",8033212665,"Reuben Elem                                       ",8033212664,2020,3601015,"SC",29108,
"","4751 Hard Scrabble Road","Richland School District Two","Rice Creek Elementary","https://www.richland2.org/rce/","Columbia","Richland                                          ",4002,"Richland 02                                       ","PK-5 SPED      ","sgadson@richland2.org","Stacey","field no longer used","Gadson","803-699-2900","Mr.","Midlands",083,"",8036992907,"Rice Creek Elem                                   ",8036992900,2020,4002083,"SC",29229,
"","1980 Main Street","Bamberg One","Richard Carroll Elementary","https://rces.bamberg1.net/","Bamberg","Bamberg                                           ",0501,"Bamberg 01                                        ","PK-6 SPED","swalter@bamberg1.net","Stacey","field no longer used","Walter","803-245-3047","Mrs.","Lower Savannah",006,"",8032453051,"Richard Carroll Elem.",8032453047,2020,0501006,"SC",29003,
"","510 South Pendleton Street","School District of Pickens County","Richard H. Gettys Middle","http://gms.pickens.k12.sc.us/","Easley","Pickens                                           ",3901,"Pickens 01                                        ","6-8 SPED       ","mikecory@pickens.k12.sc.us","Mike","field no longer used","Cory","864-397-3900","Dr.","Pendleton",004,"",8648551268,"Richard H Gettys Middle                           ",8643973900,2020,3901004,"SC",29640,
"","7500 Brookfield Road","Richland School District Two","Richland Northeast High School","https://www.richland2.org/rnh/","Columbia","Richland                                          ",4002,"Richland 02                                       ","9-12 SPED      ","ssuber@richland2.org","Sabrina","field no longer used","Suber","803-699-2800","Dr.","Midlands",079,"",8036993679,"Richland Northeast High                           ",8036992800,2020,4002079,"SC",29223,
"","316 South Beltline Boulevard, Richland Hall 132","Richland County School District One","Richland One Charter Middle College","https://www.richlandone.org/Domain/1746","Columbia","Richland                                          ",4001,"Richland 01                                       ","11-12 ","carla.brabham2@richlandone.org","Carla E.","field no longer used","Brabham","803-738-7114","Dr.","Midlands",601,"",8037387117,"Richland One Charter Middle Co                    ",8037387114,2020,4001601,"SC",29205,
"","7900 Brookmont Lane","Richland School District Two","Richland Two Charter High School","https://www.richland2.org/charterhigh","Columbia","Richland                                          ",4002,"Richland 02                                       ","9-12 SPED         ","pmills@richland2.org","Perry D.","field no longer used","Mills","803-419-1348","Dr.","Midlands",600,"",8037383759,"Richland Two Charter High                         ",8034191348,2020,4002600,"SC",29203,
"","1162 Richmond Drive","Rock Hill School District Three of York County","Richmond Drive Elementary","https://www.rock-hill.k12.sc.us/Domain/21","Rock Hill","York                                              ",4603,"York 03                                           ","PK-5 SPED","jhyatt@rhmail.org","Janice","field no longer used","Hyatt","803-981-1930","Mrs.","Catawba",031,"",8039811929,"Richmond Dr. Elem                                  ",8039811930,2020,4603031,"SC",29732,
"","422 Hazzard Circle","Aiken County Public Schools","Ridge Spring Monetta Elementary","http://www.acpsd.net/PRMES","Ridge Spring","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED","cherlong@acpsd.net","Callie","","Herlong","803-685-2000","Ms.","",059,"",8036852008,"Ridge Spring Monetta Ele.",8036852000,2020,0201059,"SC",29129,
"","1085 Trojan Road","Aiken County Public Schools","Ridge Spring Monetta Middle","https://www.acpsd.net/RSMMS","Monetta","Aiken                                             ",0201,"Aiken                                 ","6-8 SPED       ","kwebb@acpsd.net","KaRon","","Webb","803-685-2500","Mr.","",062,"",8036852560,"Ridge Spring Monetta Middle",8036852500,2020,0201062,"SC",29105,
"","10 J. P. Kneece Drive","Aiken County Public Schools","Ridge Spring-Monetta High School","http://www.acpsd.net/RSMMHS","Monetta","Aiken                                             ",0201,"Aiken 01                                          ","9-12 SPED","kblankenship@acpsd.net","Kyle","","Blankenship","803-685-2100","Mr.","",060,"",8036852108,"Ridge Spring-Monetta High",8036852100,2020,0201060,"SC",29105,
"","4801 Hard Scrabble Road","Richland School District Two","Ridge View High School","https://www.richland2.org/rvh/","Columbia","Richland                                          ",4002,"Richland 02                                       ","9-12 SPED      ","bmack@richland2.org","Brenda","field no longer used","Mack-Foxworth","803-699-2999","Dr.","Midlands",084,"",8036992888,"Ridge View High                                   ",8036992999,2020,4002084,"SC",29229,
"","250 Jaguar Trail","Jasper County School District","Ridgeland Elementary","http://res.jcsd.net/","Ridgeland","Jasper                                            ",2701,"Jasper 01                                         ","PK-5 SPED          ","renata.green@jcsd.net","Renata","field no longer used","Johnson-Green","843-489-8845","Mrs.","Lowcountry",011,"",8437173274,"Ridgeland Elem                                    ",8434898845,2020,2701011,"SC",29936,
"","5 Correctional Road","Palmetto Unified","Ridgeland High School","http://www.doc.sc.gov/edu/pusd.html","Ridgeland","Dept Of Correct                                   ",5209,"Dept Of Correction N04                            ","9-12 SPED           ","","TBD","field no longer used","","803-896-3252","","Special REC",023,"",8038961513,"Ridgeland High School                                    ",8038963252,2020,5209023,"SC",29936,
"","250 Jaguar Trail","Jasper County School District","Ridgeland-Hardeeville High School","https://rhs.jcsd.net/","Ridgeland","Jasper                                            ",2701,"Jasper 01                                         ","9-12 SPED          ","orandal.jackson@jcsd.net","O'Randal F.","field no longer used","Jackson","843-489-8844","Mr.","Lowcountry",013,"",8437173275,"Ridgeland-Hardeeville High                                    ",8434898844,2020,2701013,"SC",29936,
"","350 Thomas B. Eklund Circle","Orangeburg County School District","Rivelon Elementary","http://res.ocsd5.net/","Orangeburg","Orangeburg                                        ",3809,"Orangeburg County School District","PK-2 SPED","rena.bowman@ocsd5.net","Rena","","Bowman","803-534-2949","Ms.","",056,"","803-533-6540","Rivelon Elementary","803-534-2949",2020,3809056,"SC",29115,
"","320 Corley Mill Road","Lexington County School District One","River Bluff High School","http://www.lexington1.net/schools/river-bluff-high-school","Lexington","Lexington                                         ",3201,"Lexington 01                                      ","9-12 SPED","lclamp@lexington1.net","Luke","","Clamp","803-821-0700","Dr.","",069,"",8038210703,"River Bluff High",8038210700,2020,3201069,"SC",29072,
"","700 Augusta Plantation Drive","Horry County Schools","River Oaks Elementary","http://roe.horrycountyschools.net/","Myrtle Beach","Horry                                             ",2601,"Horry 01                                          ","PK-5 SPED","rcazier@horrycountyschools.net","Rene","field no longer used","Cazier","843-903-6300","Mrs.","Waccamaw",065,"",8439036301,"River Oaks Elem.",8439036300,2020,2601065,"SC",29579,
"","8642 River Oaks Drive","Dorchester 2","River Oaks Middle","http://roms.ddtwo.org","North Charleston","Dorchester                                        ",1802,"Dorchester 02                                     ","6-8 SPED       ","scmatthews@dorchester2.k12.sc.us","Scott","field no longer used","Matthews","843-695-2470","Mr.","Trident",026,"",8436952475,"River Oaks Middle                                 ",8436952470,2020,1802026,"SC",29420,
"","3050 River Ridge Drive","Beaufort County School District","River Ridge Academy","http://rra.beaufortschools.net/","Bluffton","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-8 SPED           ","brian.ryman@beaufort.k12.sc.us","Brian","","Ryman","843-836-4600","Mr.","",038,"","843-836-4850","River Ridge Academy",8438364600,2020,0701038,"SC",29910,
"","5960 Reidville Road","Spartanburg Five","River Ridge Elementary","http://www.spart5.net/rres/site/default.asp","Moore","Spartanburg                                       ",4205,"Spartanburg 05                                    ","PK-4 SPED      ","glenda.bigby@spart5.net","Glenda","field no longer used","Bigby","864-949-7620","Dr.","Upstate",090,"",8649497627,"River Ridge Elem                                  ",8649497620,2020,4205090,"SC",29369,
"","115 Connie Wright Road","School District Five of Lexington and Richland Cou","River Springs Elementary","https://www.lexrich5.org/rses","Irmo","Lexington                                         ",3205,"Lexington 05                                      ","PK-5 SPED       ","mhcohen@lexrich5.org","Melanie","field no longer used","Cohen","803-476-4400","Mrs.","Midlands",053,"",8034764420,"River Springs Elem                                ",8034764400,2020,3205053,"SC",29063,
"","160 Cougar Drive","Lexington School District Two","Riverbank Elementary","https://riverbank.lex2.org/","West Columbia","Lexington                                         ",3202,"Lexington 02                                      ","PK-5 SPED","setgoals@lex2.org","David","","Sims","803-936-3400","Mr.","",030,"",8099268979,"Riverbank Elementary",8039363400,2020,3202030,"SC",29169,
"","1287 Highway 57 South","Horry County Schools","Riverside Elementary","https://www.horrycountyschools.net/Riverside_Elementary_School","Little River","Horry                                             ",2601,"Horry 01                                          ","PK-5 SPED      ","vunderwood@horrycountyschools.net","Vicki","","Underwood","843-399-8800","Mrs.","",068,"",8433908700,"Riverside Elementary",8433998800,2020,2601068,"SC",29566,
"","794 Hammett Bridge Road","The School District of Greenville County","Riverside High School","https://www.greenville.k12.sc.us/riverside/","Greer","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED      ","djhuffma@greenville.k12.sc.us","Darah","field no longer used","Huffman","864-355-7800","Ms.","Greenville",017,"",8643557898,"Riverside High                                    ",8643557800,2020,2301017,"SC",29650,
"","615 Hammett Bridge Road","The School District of Greenville County","Riverside Middle","http://www.greenville.k12.sc.us/rms/","Greer","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED       ","kamalone@greenville.k12.sc.us","Kate","field no longer used","Malone","864-355-7900","Ms.","Greenville",111,"",8643557918,"Riverside Middle                                  ",8643557900,2020,2301111,"SC",29650,
"","458 Riverside Street","Anderson County School District 4","Riverside Middle","http://rms.anderson4.org","Pendleton","Anderson                                          ",0404,"Anderson 04                                       ","7-8 SPED       ","jboozer@anderson4.org","Jeff ","field no longer used","Boozer","864-403-2200","Mr.","Pendleton",029,"",8644032299,"Riverside Middle                                ",8644032200,2020,0404029,"SC",29670,
"","81 Savannah Highway","Beaufort County School District","Riverview Charter School","http://www.riverviewcharterschool.org/","Beaufort","Beaufort                                          ",0701,"Beaufort 01                                       ","K-8 SPED            ","athomas@riverviewcharterschool.org","Alison","field no longer used","Thomas","843-379-0133","Ms.","Lowcountry",601,"",8433790133,"Riverview Charter School                          ",8433790133,2020,0701601,"SC",29906,
"","1300 Spratt Street","Fort Mill School District","Riverview Elementary","http://fortmillrves.ss11.sharpschool.com/","Fort Mill","York                                              ",4604,"York 04                                           ","PK-5 SPED          ","chinchilla@fortmillschools.org ","Annette","field no longer used","Chinchilla","803-548-4677","Mrs.","Catawba",042,"",8035484747,"Riverview Elem                                    ",8035484677,2020,4604042,"SC",29715,
"","5750 Mt. Gallant Road","SC Public School Charter District","Riverwalk Academy","https://www.riverwalkacademy.com/","Rock Hill","SC Public Chart                                   ",4701,"SC Public Charter School District                 ","K-10 SPED","rcompton@riverwalkacademy.com","Robbie","","Compton","803-327-8400","Dr.","",033,"",8034549031,"Riverwalk Academy",8033278400,2020,4701033,"SC",29732,
"","2302 Dobbins Bridge Road","Anderson School District Five","Robert Anderson Middle","http://www.anderson5.net/Domain/22","Anderson","Anderson                                          ",0405,"Anderson 05                                       ","6-8 SPED           ","curtissmith@anderson5.net","Curtis","field no longer used","Smith","864-716-3890","Mr.","Pendleton",063,"",8649642607,"Robert Anderson Middle                            ",8647163890,2020,0405063,"SC",29626,
"","1500 Fork Shoals Road","The School District of Greenville County","Robert E. Cashion Elementary","http://www.greenville.k12.sc.us/cashion/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","rstreetm@greenville.k12.sc.us","Ryan","field no longer used","Streetman","864-355-8000","Mr.","Greenville",113,"",8643558021,"Robert E. Cashion Elem.                           ",8643558000,2020,2301113,"SC",29605,
"","1255 Belleville Road","Orangeburg County School District","Robert E. Howard Middle","http://hms.ocsd5.net/","Orangeburg","Orangeburg                                        ",3809,"Orangeburg County School District","6-8 SPED       ","eric.brown@ocsd5.net","Eric","","Brown","803-534-5470","Mr.","",027,"","803-535-1606","Robert E. Howard Middle","803-534-5470",2020,3809027,"SC",29115,
"","43 W.K. Alston Drive","Beaufort County School District","Robert Smalls International Academy","http://rsia.beaufortschools.net/","Beaufort","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-8 SPED","Jennifer.Morillo@beaufort.k12.sc.us","Jennifer","","Morillo","843-322-2500","Ms.","",040,"",8433222564,"Robert Smalls International Academy",8433222500,2020,0701040,"SC",29906,
"","320 West Springdale Road","Rock Hill School District Three of York County","Rock Hill High School","https://www.rock-hill.k12.sc.us/Domain/32","Rock Hill","York                                              ",4603,"York 03                                           ","9-12 SPED      ","oahl@rhmail.org","Arthur W.","field no longer used","Ahl, II","803-981-1300","Mr.","Catawba",017,"oahl@rhmail.org",8039811343,"Rock Hill High                                    ",8039811300,2020,4603017,"SC",29730,
"","430 Calks Ferry Road","Lexington County School District One","Rocky Creek Elementary","http://www.lexington1.net/schools/rocky-creek-elementary-school","Lexington","Lexington                                         ",3201,"Lexington 01                                      ","PK-5 SPED           ","bnichols@lexington1.net","Brenda B.","field no longer used","Nichols","803-821-4200","Mrs.","Midlands",066,"",8038214203,"Rocky Creek Elem                                  ",8038214200,2020,3201066,"SC",29072,
"","2401 East Blackstock Road","Spartanburg County School District Six","Roebuck Elementary","https://res.spart6.org/","Roebuck","Spartanburg                                       ",4206,"Spartanburg 06                                    ","PK-5 SPED       ","faulkn@spart6.org","Jennifer","field no longer used","Faulkner","864-576-6151","Ms.","Upstate",086,"",8645952429,"Roebuck Elem                                      ",8645766151,2020,4206086,"SC",29376,
"","815 South Main Street","Dorchester 2","Rollings Middle School of the Arts","http://rmsa.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","6-8 SPED       ","papye@dorchester2.k12.sc.us","Patrick ","field no longer used","Pye","843-873-3610","Mr.","Trident",012,"",8438213985,"Rollings Middle School Of The                     ",8438733610,2020,1802012,"SC",29483,
"P.O. Box 1209","311 Carver Street","Florence County School District Three","Ronald E. McNair Junior High","http://www.remms.florence3.k12.sc.us/","Lake City","Florence                                          ",2103,"Florence 03                                       ","7-8 SPED","djohnson@fsd3.org","Deitra","","Johnson","843-374-8651","Mrs.","",053,"",8433748504,"Ronald E. McNair Jr. High",8433748651,2020,2103053,"SC",29506,
"","12804 County Line Road","Georgetown County School District","Rosemary Middle","https://rms.gcsd.k12.sc.us/","Andrews","Georgetown                                        ",2201,"Georgetown 01                                     ","6-8 SPED       ","lgoodson@gcsd.k12.sc.us","LaTanya","field no longer used","Goodson","843-264-9780","Ms.","Waccamaw",022,"",8432649787,"Rosemary Middle                                   ",8432649780,2020,2201022,"SC",29510,
"","508 Church Street","Darlington County School District","Rosenwald Elementary-Middle","http://rems.dcsdschools.org/","Society Hill","Darlington                                        ",1601,"Darlington 01                                     ","PK-8 SPED           ","Kimberly.Mason@darlington.k12.sc.us","Kim","field no longer used","Mason","843-398-2700","Ms.","Pee Dee",020,"",8433982694,"Rosenwald Elem/Middle                             ",8433982700,2020,1601020,"SC",29593,
"","2240 Rosewood Drive","Rock Hill School District Three of York County","Rosewood Elementary","https://www.rock-hill.k12.sc.us/Domain/22","Rock Hill","York                                              ",4603,"York 03                                           ","PK-5 SPED      ","dgreenwood@rhmail.org","Deborah","field no longer used","Greenwood","803-981-1540","Mrs.","Catawba",032,"",8039811568,"Rosewood Elem                                     ",8039811540,2020,4603032,"SC",29732,
"","3300 Rosewood Drive","Richland County School District One","Rosewood Elementary","https://www.richlandone.org/Domain/29","Columbia","Richland                                          ",4001,"Richland 01                                       ","K-5 SPED       ","elizabeth.williams2@richlandone.org","Elizabeth","field no longer used","Williams","803-343-2930","Ms.","Midlands",054,"",8039293849,"Rosewood Elem                                     ",8033432930,2020,4001054,"SC",29205,
"","449 Rimer Pond Road","Richland School District Two","Round Top Elementary","https://www.richland2.org/rte/","Blythewood","Richland                                          ",4002,"Richland 02                                       ","PK-5 SPED      ","jtucker@richland2.org","Jeaneen","field no longer used","Tucker","803-691-8676","Mrs.","Midlands",090,"",8036918677,"Round Top Elem                                    ",8036918676,2020,4002090,"SC",29016,
"","1398 Church Road","Charter Institute at Erskine","Royal Live Oaks Academy of the Arts and Sciences","http://www.rloacs.org/","Hardeeville","",4801,"Charter Institute at Erskine","K-12 SPED","karen.wicks@rloacs.org","Karen M.","","Wicks","843-784-2630","Dr.","",004,"",8437842623,"Royal Live Oaks Academy of the Arts and Sciences",8437842630,2020,4801004,"SC",29927,
"","1101 Cheraw Drive","Florence School District One","Royall Elementary","https://www.fsd1.org/royall","Florence","Florence                                          ",2101,"Florence 01                                       ","K-6 SPED       ","jcsmith@fsd1.org","Julie","field no longer used","Smith","843-664-8167","Ms.","Pee Dee",017,"",8436692860,"Royall Elem                                       ",8436648167,2020,2101017,"SC",29501,
"","249 Thurman Aveune","Chesterfield County School District","Ruby Elementary","http://res.chesterfieldschools.org/","Ruby","Chesterfield                                      ",1301,"Chesterfield 01                                   ","PK-5 SPED      ","cmiles@chesterfieldschools.org","Caroline","field no longer used","Miles","843-634-6310","Mrs.","Pee Dee",023,"",8436345013,"Ruby Elem                                         ",8436346310,2020,1301023,"SC",29741,
"","1507 Scuffletown Road","The School District of Greenville County","Ruldolph G. Gordon School at Jones Mill","http://www.greenville.k12.sc.us/gordon/","Simpsonville","Greenville                                        ",2301,"Greenville 01                                     ","PK-7 SPED","jparker@greenville.k12.sc.us","Jackie","field no longer used","Parker","864-355-0200","Ms.","Greenville",117,"",8643550242,"Ruldolph G. Gordon School           ",8643550200,2020,2301117,"SC",29681,
"","400 West Butler Avenue","Saluda School District One","Saluda Elementary","http://ses.saluda.schooldesk.net","Saluda","Saluda                                            ",4101,"Saluda 01                                         ","3-5 SPED            ","menlow@saludaschools.org","Marcie","field no longer used","Enlow","864-445-2564","Mrs.","Upper Savannah",006,"",8644458833,"Saluda Elem                                       ",8644452564,2020,4101006,"SC",29138,
"","160 Ivory Key Road","Saluda School District One","Saluda High School","http://high.saluda.schooldesk.net/","Saluda","Saluda                                            ",4101,"Saluda 01                                         ","9-12 SPED           ","retheredge@saludaschools.org ","Robert","field no longer used","Etheredge","864-445-3011","Mr.","Upper Savannah",003,"",8644453542,"Saluda High                                       ",8644453011,2020,4101003,"SC",29138,
"","140 Ivory Key Road","Saluda School District One","Saluda Middle","http://middle.saluda.schooldesk.net/","Saluda","Saluda                                            ",4101,"Saluda 01                                         ","6-8 SPED       ","dhardie@saludaschools.org","Don","field no longer used","Hardie","864-445-3767","Mrs.","Upper Savannah",005,"",8644453980,"Saluda Middle                                     ",8644453767,2020,4101005,"SC",29138,
"","200 Matthews Drive","Saluda School District One","Saluda Primary","http://primary.saluda.schooldesk.net/","Saluda","Saluda                                            ",4101,"Saluda 01                                         ","PK-2 SPED          ","tshore@saludaschools.org","Tammy","field no longer used","Shore","864-445-2469","Ms.","Upper Savannah",007,"",8644454374,"Saluda Primary                                    ",8644452469,2020,4101007,"SC",29138,
"","1520 Duke Avenue","Lexington District Two","Saluda River Academy for the Arts","http://sraa.lex2.org","West Columbia","Lexington                                         ",3202,"Lexington 02                                      ","K-5 SPED       ","jleblanc@lex2.org","Jim","field no longer used","LaBlanc","803-739-4095","Mr.","Midlands",023,"",8037393198,"Saluda River Academy For Arts                     ",8037394095,2020,3202023,"SC",29169,
"","2300 Saluda Road","Rock Hill School District Three of York County","Saluda Trail Middle","https://www.rock-hill.k12.sc.us/Domain/28","Rock Hill","York                                              ",4603,"York 03                                           ","6-8 SPED       ","ecox@rhmail.org","Elissa","field no longer used","Cox","803-981-1800","Mrs.","Catawba",038,"bdcampbell@rhmail.org",8039811819,"Saluda Trail Middle                               ",8039811800,2020,4603038,"SC",29730,
"","69 Woodland Avenue","Georgetown County School District","Sampit Elementary","https://ses.gcsd.k12.sc.us/","Georgetown","Georgetown                                        ",2201,"Georgetown 01                                     ","PK-5 SPED      ","sgoff-mack@gcsd.k12.sc.us","Sabrina","field no longer used","Goff-Mack","843-527-4411","Ms.","Waccamaw",023,"",8435461226,"Sampit Elem                                       ",8435274411,2020,2201023,"SC",29440,
